Overall Summary
Total Files,739
Total Documents with Terms,201
Total Documents without Terms,538
Unique Terms Found Across All Folders,"human smuggling, coyote, alien smuggling, undocumented immigrants, alien transportation, alien, trespassing, harboring, illegal entry, transportation of illegal aliens"

Folder,Total Files,Documents with Terms,Documents without Terms
./docs/101-200,101,41,60
./docs/401-500,101,18,83
./docs/501-600,101,14,87
./docs/601-732,133,21,112
./docs/301-400,101,25,76
./docs/201-300,101,32,69
./docs/1-100,101,50,51
